Charla,Folio,Escala Usada,Vocalización,Claridad de las expresiones,Cercanía,Dominio del tema,Atención a la audiencia,Facilidad de palabra,Calidad del contenido,Claridad transparencias,Adaptado al nivel,Exponer ideas,Aplicabilidad,ejemplos prácticos,Tema,Duración,Medios técnicos,Iluminación,Lugar/Sala,Temperatura,Ruido
FD,1,5 ítems,,9,,12,,,12,,6,,,,,12,,,,,
FD,2,3 ítems,12,,,12,6,,12,,,,,,,6,,,,,
FD,3,3 ítems,12,,,12,12,,12,,,,,,,,12,,,,
FD,4,5 ítems,,9,,9,,,9,,9,,,,,,9,,,,
FD,5,5 ítems,12,,,12,,,,,12,,,,,9,,,,,
FD,6,3 ítems,,12,,12,12,,12,,12,,,,,,,,,,
FD,7,7 ítems,,12,,10,12,,10,12,,,,,,,,,,,
FD,8,7 ítems,,6,,8,,,8,,,,,,,8,8,,,,
FD,9,7 ítems,,8,12,10,,,,12,,,,,12,,,,,,
CW,1,5 ítems,9,6,,12,,,12,,,,,,,,12,,,,
CW,2,3 ítems,6,,0,,,,12,,,,,,,6,,12,,,
CW,3,5 ítems,,12,,12,9,,12,,,,,,,9,,,,,
CW,4,7 ítems,,10,,12,8,,8,,,,,,,,4,,,,
CW,5,5 ítems,,,9,12,,,,,9,,,,,,3,3,,,
CW,6,5 ítems,,9,6,12,6,,12,,,,,,,,,,,,
CW,7,7 ítems,,12,12,,,,12,,,,,,,10,,,,4,
CW,8,7 ítems,8,10,,12,,,8,,,,,,,8,,,,,
CW,9,5 ítems,9,,,12,,,,,,,,,9,9,,,,9,
CW,10,3 ítems,12,,6,6,,,6,,,,,,,6,,,,,
CW,11,5 ítems,12,9,,9,,,12,,9,,,,,,,,,,
CW,12,7 ítems,,,,12,12,,12,,,,,,,10,,,,2,
CW,13,5 ítems,,9,,12,,,,,,,,,,9,9,,,3,
CW,14,7 ítems,8,,,10,,,,,8,,,,,8,,12,,,
CW,15,5 ítems,,12,,12,12,,12,,12,,,,,,,,,,
CW,16,5 ítems,9,,6,12,,,9,,,,,,,9,,,,,
CW,17,5 ítems,6,,,12,,,9,,,,,,,6,,,,3,
CW,18,5 ítems,,,,12,,,9,12,,,,,,,9,,,6,
CW,19,3 ítems,12,,,12,,,12,,12,,,,,,12,,,,
CW,20,5 ítems,,12,9,12,,,12,,,,,,,9,,,,,
CW,21,5 ítems,9,,,12,12,,9,,,,,,,,9,,,,
CW,22,5 ítems,3,,,9,,,,6,3,,,,,,,,,12,
CW,23,5 ítems,9,,,12,9,,9,,12,,,,,,,,,,
CW,24,3 ítems,12,12,,12,,,12,,,,,,,6,,,,,
CW,25,5 ítems,,9,,12,,,,12,,,,,12,9,,,,,
CW,26,5 ítems,3,3,,12,,,,,,,,,9,,12,,,,
CW,27,5 ítems,,,,12,9,,,,,,,,9,12,,,,0,
CW,28,7 ítems,,,12,,12,,10,10,12,,,,,,,,,,
CW,29,5 ítems,,6,,12,,,9,,9,,,,,,9,,,,
CW,30,7 ítems,10,12,12,12,,,12,,,,,,,,,,,,
CW,31,7 ítems,,,,8,,,,,,,12,6,12,,,,2,,
CW,32,5 ítems,,,,12,6,,12,,12,,,,,,,,,,0
CW,33,3 ítems,,,,,,12,,,,12,,,12,,,,,,
AccC,1,5 ítems,,12,,12,9,,9,,,,,,,9,,,,,
AccC,2,5 ítems,,3,,,6,,9,,,,,,,9,12,,,,
AccC,3,5 ítems,,,,12,9,,9,,9,,,,,9,,,,,
AccC,4,7 ítems,,10,,10,12,,10,,10,,,,,,,,,,
AccC,5,5 ítems,,12,,12,9,,12,,,,,,,9,,,,,
AccC,6,5 ítems,,,,12,9,,12,,12,,,,,,12,,,,
AccC,7,5 ítems,12,12,12,12,,,12,,,,,,,,,,,,
AccC,8,5 ítems,,,,9,9,,12,,,,,,,0,,,,,
AccC,9,5 ítems,,,,12,12,,12,,12,,,,,,12,,,,
AccC,10,5 ítems,,6,,9,,,6,,9,,,,,,9,,,,
AccC,11,7 ítems,6,10,,10,,,6,,,,,,,6,,,,,
AccC,12,5 ítems,,,,12,9,,12,,12,,,,,,9,,,,
AccC,13,5 ítems,,9,12,12,,,12,,,,,,,,,,,9,
AccC,14,5 ítems,,,,9,,,,6,,,,,,0,3,,,3,
AccC,15,5 ítems,9,6,,12,12,,,,,,,,,9,,,,,
AccC,16,5 ítems,,9,6,9,12,,,,,,,,,9,,,,,
AccC,17,7 ítems,,12,10,12,12,,12,,,,,,,,,,,,
AccC,18,7 ítems,10,,6,12,,,,6,,,,,,,12,,,,
AccC,19,5 ítems,12,,,,12,,12,12,,,,,,9,,,,,
AccC,20,7 ítems,,8,,10,12,,10,4,,,,,,,,,,,
AccC,21,5 ítems,12,12,,12,,,,,9,,,,,3,,,,,
TLTX,1,5 ítems,,9,,12,,,9,,9,,,,,,9,,,,
TLTX,2,7 ítems,,,,12,10,,10,,,,,,,4,,6,,,
TLTX,3,5 ítems,,12,,12,,,12,,,,,,,9,,9,,,
TLTX,4,5 ítems,,,,12,,,12,,12,,,,,9,12,,,,
TLTX,5,3 ítems,,,,12,,,6,6,,,,,,0,6,,,,
TLTX,6,7 ítems,,8,,12,,,8,,6,,,,,,6,,,,
TLTX,7,5 ítems,,12,,12,,,12,,,,,,,9,12,,,,
TLTX,8,7 ítems,,4,,10,12,,10,,,,,,,,10,,,,
TLTX,9,5 ítems,9,,,12,,,9,,12,,,,,,12,,,,
TLTX,10,3 ítems,,,,12,12,,12,,,,,,,,,,,,
TLTX,11,7 ítems,,,,10,,,,8,2,,,,,8,8,,,,
TLTX,12,5 ítems,6,9,,12,,,,3,0,,,,,,,,,,
TLTX,13,5 ítems,,9,,12,12,,12,,,,,,,9,,,,,
TLTX,14,7 ítems,10,10,,12,,,10,,,,,,,8,,,,,
TLTX,15,5 ítems,,,,9,3,,3,,3,,,,,9,,,,,
TLTX,16,5 ítems,,,,12,,,6,,3,,,,,9,9,,,,
TLTX,17,3 ítems,,12,,12,,,6,,12,,,,,,6,,,,
TLTX,18,3 ítems,6,12,0,,,,,,6,,,,,12,,,,,
TLTX,19,7 ítems,,12,,12,,,12,,12,,,,,2,,,,,
TLTX,20,5 ítems,,9,,12,,,12,9,12,,,,,,,,,,
TLTX,21,5 ítems,,12,,12,9,,,,12,,,,,,12,,,,
TLTX,22,7 ítems,,12,,,12,,12,,12,,,,,12,,,,,
TLTX,23,7 ítems,,12,,12,12,,12,,12,,,,,,,,,,
TLTX,24,3 ítems,12,12,,12,,,,,0,,,,,6,,,,,
TLTX,25,7 ítems,8,10,,12,,,12,,,,,,,12,,,,,
TLTX,26,5 ítems,12,,,12,,,12,,9,,,,,0,,,,,
CTLGM,1,7 ítems,12,,,12,12,,12,,,,,,,12,,,,,
CTLGM,2,7 ítems,,,10,10,,,10,10,10,,,,,,,,,,
CTLGM,3,7 ítems,,12,,12,,,12,,12,,,,,,12,,,,
CTLGM,4,3 ítems,,12,,12,12,,,,,,,,,12,12,,,,
CTLGM,5,5 ítems,,12,,,12,,12,,,,,,,0,12,,,,
CTLGM,6,3 ítems,12,,,12,,,12,,6,,,,,6,,,,,
CTLGM,7,5 ítems,,12,,12,12,,,12,,,,,,12,,,,,
CTLGM,8,5 ítems,12,12,12,12,12,,,,,,,,,,,,,,
CTLGM,9,7 ítems,,12,,12,12,,10,,,,,,,8,,,,,
CTLGM,10,5 ítems,,12,,12,,,12,,12,,,,,,12,,,,
CTLGM,11,5 ítems,,12,,12,12,,12,,12,,,,,,,,,,
CTLGM,12,5 ítems,12,12,,,,,12,,12,,,,,,12,,,,
CTLGM,13,5 ítems,12,,12,12,,,,,,,,,,12,,,,12,
CTLGM,14,7 ítems,,10,,10,10,,10,,,,,,,8,,,,,
CTLGM,15,3 ítems,,12,12,12,,,12,,12,,,,,,,,,,
